Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH09;709241;2;0;0;2;MDU;;Y;NA;4;4;Notelarenstraat23;;3 Units in CRAB, 4 bussen in GM.;;;BUILDING template;Notelarenstraat;23;;;217332,393;179628,834
HASSELT - FH09;2408951;1;0;0;1;SDU;;Y;NA;2;4;Bergstraat69;;;;;BUILDING template;Bergstraat;69;;;218202,465;179105,497
HASSELT - FH09;2420994;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat114;;;;;BUILDING template;Kerkhofstraat;114;;;217682,592;179366,196
HASSELT - FH09;2443545;2;0;0;2;MDU;;Y;NA;4;4;Sint-Truidersteenweg285;;;;;BUILDING template;Sint-Truidersteenweg;285;;;217422,255;179158,049
HASSELT - FH09;4211916;1;0;0;1;SDU;;Y;NA;2;4;Bergstraat40;;;;;BUILDING template;Bergstraat;40;;;218173,966;179233,782
HASSELT - FH09;706837;1;0;0;1;SDU;;Y;NA;2;4;Kleersnijderslaan14;;;;;BUILDING template;Kleersnijderslaan;14;;;217281,168;179170,48
HASSELT - FH09;709242;1;0;0;1;SDU;;Y;NA;2;4;Notelarenstraat21;;;;;BUILDING template;Notelarenstraat;21;;;217347,728;179633,824
HASSELT - FH09;2408953;1;0;0;1;SDU;;Y;NA;2;4;Bergstraat71;;;;;BUILDING template;Bergstraat;71;;;218204,665;179099,959
HASSELT - FH09;2420997;1;0;0;1;SDU;;Y;NA;2;4;Kerkhofstraat118;;;;;BUILDING template;Kerkhofstraat;118;;;217676,062;179356,581
HASSELT - FH09;2443547;1;0;0;1;SDU;;Y;NA;2;4;Sint-Truidersteenweg287;;;;;BUILDING template;Sint-Truidersteenweg;287;;;217418,35;179152,375
HASSELT - FH09;4215841;1;0;0;1;SDU;;Y;NA;2;4;Jagersstraat37;;;;;BUILDING template;Jagersstraat;37;;;217410,557;179740,382
