Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
HASSELT - FH05;2407169;6;0;1;7;MDU;;N;ORN;3;3;;;Y;_;BUILDING template;Anne Frankplein;4;;
HASSELT - FH05;2407170;4;0;1;5;MDU;;N;ORN;3;3;;;Y;_;BUILDING template;Anne Frankplein;5;;
HASSELT - FH05;2407172;6;0;1;7;MDU;;N;ORN;4;3;;;Y;_;BUILDING template;Anne Frankplein;6;;
HASSELT - FH05;2407175;10;0;1;11;MDU;;N;ORN;5;3;;;Y;_;BUILDING template;Anne Frankplein;9;;
HASSELT - FH05;2407176;9;0;1;10;MDU;;N;ORN;5;3;;;Y;_;BUILDING template;Anne Frankplein;10;;
HASSELT - FH05;1323149;7;1;1;9;MDU;;N;ORN;5;3;;;Y;_;BUILDING template;Anne Frankplein;11;;
HASSELT - FH05;6199761;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;;BUILDING template;Winterstraat;40;;
HASSELT - FH05;2407181;2;0;0;2;MDU;;N;ORN;5;3;;;Y;_;BUILDING template;Anne Frankplein;12;;
HASSELT - FH05;2407182;9;1;1;11;MDU;;N;ORN;5;3;;;Y;_;BUILDING template;Anne Frankplein;13;;
HASSELT - FH05;328571;5;0;0;5;MDU;;N;ORN;3;3;;;Y;;BUILDING template;Zomerstraat;3;;
HASSELT - FH05;2407184;7;1;1;9;MDU;;N;ORN;3;3;;;Y;;BUILDING template;Anne Frankplein;14;;
HASSELT - FH05;2407186;8;0;0;8;MDU;;N;ORN;4;3;;;Y;_;BUILDING template;Anne Frankplein;15;;
HASSELT - FH05;2407189;6;0;1;7;MDU;;N;ORN;5;3;;;Y;_;BUILDING template;Anne Frankplein;16;;
HASSELT - FH05;2412553;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;;BUILDING template;Danielsstraat;1;;
HASSELT - FH05;2448942;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Zomerstraat;18;;
HASSELT - FH05;4896766;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Kroonwinningstraat;28;;
HASSELT - FH05;3937439;3;0;0;3;MDU;;Y;NA;3;4;;;Y;_;BUILDING template;Kroonwinningstraat;30;;
HASSELT - FH05;2448949;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Zomerstraat;20;;
HASSELT - FH05;2423306;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Kroonwinningstraat;32;;
HASSELT - FH05;4896769;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Kroonwinningstraat;34;;
HASSELT - FH05;2448961;1;0;0;1;SDU;;N;IRREG;4;3;;;Y;_;BUILDING template;Zomerstraat;24;;
HASSELT - FH05;4896770;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Kroonwinningstraat;36;;
HASSELT - FH05;2423307;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Kroonwinningstraat;38;;
HASSELT - FH05;4896772;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Kroonwinningstraat;40;;
HASSELT - FH05;2448963;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Zomerstraat;24;A;
HASSELT - FH05;2423313;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Kroonwinningstraat;42;;
HASSELT - FH05;1516949;1;0;0;1;SDU;;N;IRREG;3;3;;;Y;_;BUILDING template;Zomerstraat;30;;
HASSELT - FH05;2448977;1;0;0;1;SDU;;N;IRREG;4;3;;;Y;_;BUILDING template;Zomerstraat;32;;
HASSELT - FH05;2423320;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Kroonwinningstraat;44;;
HASSELT - FH05;328550;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;;BUILDING template;Danielsstraat;26;;
HASSELT - FH05;2423325;1;0;0;1;SDU;;Y;NA;3;4;;;Y;_;BUILDING template;Kroonwinningstraat;46;;
HASSELT - FH05;328382;1;0;0;1;SDU;;Y;NA;2;4;;;Y;_;BUILDING template;Kroonwinningstraat;48;;
HASSELT - FH05;2448981;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Zomerstraat;44;;
HASSELT - FH05;2412591;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;;BUILDING template;Danielsstraat;27;;
HASSELT - FH05;2448982;1;0;0;1;SDU;;N;IRREG;3;4;;;Y;_;BUILDING template;Zomerstraat;46;;
HASSELT - FH05;2412597;6;0;0;6;MDU;;N;IRREG;3;4;;;Y;;BUILDING template;Danielsstraat;31;;
