Projectnummer;Opdrachtnummer;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH01;6440424;6440424;14068975;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Braziliestraat;2;E;20190828121212;C;2018-11-19;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;5575022;5575022;;Ankerrui 11-13;Ankerrui;13;;;XA;2019-09-10 14:30:29;Steve De Weerdt;MDU;8;0;1;9;BUILDING template
ANTWERPEN-WEST - FH01;5802357;5802357;14068975;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Rijnkaai;2;;20190828121212;C;2018-11-19;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;6005416;6005416;11196800;Oudeleeuwenrui 7-11;Oudeleeuwenrui;11;;20190705082417;XC;2020-02-05;Senel Koksal;MDU;24;0;3;27;BUILDING template
ANTWERPEN-WEST - FH01;6395025;6395025;14069106;Montevideostraat 3_Rijnkaai 12-15;Rijnkaai;12;;20191004142315;XC;2019-09-06 11:35:13;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;1015486;1015486;14069106;Montevideostraat 3_Rijnkaai 12-15;Rijnkaai;15;;20191004142315;XC;2019-09-06 11:35:13;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108068;108068;;Verbindingsdok-Westkaai 26-28-30;Verbindingsdok-Westkaai;30;;;A;2019-04-02 14:15:10;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;4021011;4021011;;Verbindingsdok-Westkaai 26-28-30;Verbindingsdok-Westkaai;28;;;A;2019-04-02 14:15:10;Geert Stockman;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108075;108075;14079336;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Bataviastraat;5;;20191105091418;XA;2020-02-25;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108074;108074;14079336;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Bataviastraat;7;;20191105091418;XA;2020-02-25;Peter Van Leeuwen;MDU;2;21;1;24;BUILDING template
ANTWERPEN-WEST - FH01;1735096;1735096;14079336;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Amsterdamstraat;20;;20191105091418;XA;2020-02-25;Peter Van Leeuwen;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH01;108073;108073;14079336;Amsterdamstraat 14-16-18-20_Bataviastraat 1-5-7-11_Nassaustraat 30;Bataviastraat;11;;20191105091418;XA;2020-02-25;Peter Van Leeuwen;MDU;1;32;1;34;BUILDING template
