Projectnummer;Opdrachtnummer;Blok;Cluster NR;LAM MK;BG Id;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;BG Version;Quadrant;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;Opdrachttemplate
ANTWERPEN-WEST - FH04;1945553;BL0426;6;1945553;;Huidervettersstraat 38-40_Korte Gasthuisstraat 21-23-25 ;Huidevettersstraat;40;;;XA;2020-01-23 12:00:36;Maayken Vanfleteren;MDU;23;19;4;46;BUILDING template
ANTWERPEN-WEST - FH04;182860;BL0426;6;182860;;Huidervettersstraat 38-40_Korte Gasthuisstraat 21-23-25 ;Huidevettersstraat;38;;;XA;2020-01-23 12:00:36;Maayken Vanfleteren;MDU;3;20;3;26;BUILDING template
ANTWERPEN-WEST - FH04;3926213;BL0426;6;3926213;;Huidervettersstraat 38-40_Korte Gasthuisstraat 21-23-25 ;Korte Gasthuisstraat;21;;;XA;2020-01-23 12:00:36;Maayken Vanfleteren;MDU;2;2;0;4;BUILDING template
ANTWERPEN-WEST - FH04;4509225;BL0426;6;4509225;;Huidervettersstraat 38-40_Korte Gasthuisstraat 21-23-25 ;Korte Gasthuisstraat;23;;;XA;2020-01-23 12:00:36;Maayken Vanfleteren;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;59555;BL0426;6;59555;;Huidervettersstraat 38-40_Korte Gasthuisstraat 21-23-25 ;Korte Gasthuisstraat;25;;;XA;2020-01-23 12:00:36;Maayken Vanfleteren;MDU;1;0;1;2;BUILDING template
ANTWERPEN-WEST - FH04;5575734;BL0427;6;5575734;;Huidevettersstraat 33-35-37;Huidevettersstraat;35;;;;;;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;60018;BL0427;6;60018;;Huidevettersstraat 33-35-37;Huidevettersstraat;33;;;;;;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;60013;BL0427;6;60013;;Huidevettersstraat 33-35-37;Huidevettersstraat;37;;;;;;MDU;1;0;0;1;BUILDING template
ANTWERPEN-WEST - FH04;109952;BL0411;3;109952;27514046;Kattenstraat 20-22;Kattenstraat;20;;20200127104719;XC;2020-01-26 08:50:12;Geert Stockman;MDU;0;8;1;9;BUILDING template
ANTWERPEN-WEST - FH04;5575787;BL0411;3;5575787;27514046;Kattenstraat 20-22;Kattenstraat;22;;20200127104719;XC;2020-01-26 08:50:12;Geert Stockman;MDU;0;9;1;10;BUILDING template
