Projectnummer;LU Key;CLUSTER_NR;BLOCK_NR;LAM MK;BLOCK_NR_LU;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging
SINT-NIKLAAS - FH02;10642244;1;BL0205;3500132;BL0205;(L/B/S)U template;Klein-Hulststraat;122;
SINT-NIKLAAS - FH02;63261;1;BL0205;63261;BL0205;BUILDING template;Klein-Hulststraat;124;
SINT-NIKLAAS - FH02;2098473;1;BL0205;63261;BL0205;(L/B/S)U template;Klein-Hulststraat;124;
SINT-NIKLAAS - FH02;63275;1;BL0205;63275;BL0205;BUILDING template;Klein-Hulststraat;126;
SINT-NIKLAAS - FH02;2098642;1;BL0205;63275;BL0205;(L/B/S)U template;Klein-Hulststraat;126;
SINT-NIKLAAS - FH02;3500136;1;BL0205;3500136;BL0205;BUILDING template;Klein-Hulststraat;128;
SINT-NIKLAAS - FH02;2098804;1;BL0205;3500136;BL0205;(L/B/S)U template;Klein-Hulststraat;128;
SINT-NIKLAAS - FH02;3500139;1;BL0205;3500139;BL0205;BUILDING template;Klein-Hulststraat;130;
SINT-NIKLAAS - FH02;2099347;1;BL0205;3500139;BL0205;(L/B/S)U template;Klein-Hulststraat;130;
SINT-NIKLAAS - FH02;63317;1;BL0205;63317;BL0205;BUILDING template;Klein-Hulststraat;132;
SINT-NIKLAAS - FH02;11194749;1;BL0205;63317;BL0205;(L/B/S)U template;Klein-Hulststraat;132;
SINT-NIKLAAS - FH02;3500227;3;BL0214;3500227;BL0214;BUILDING template;Knaptandstraat;2;
SINT-NIKLAAS - FH02;2105215;3;BL0214;3500227;BL0214;(L/B/S)U template;Knaptandstraat;2;
SINT-NIKLAAS - FH02;3500230;3;BL0214;3500230;BL0214;BUILDING template;Knaptandstraat;4;
SINT-NIKLAAS - FH02;2114305;3;BL0214;3500230;BL0214;(L/B/S)U template;Knaptandstraat;4;
SINT-NIKLAAS - FH02;11094616;3;BL0214;3500230;BL0214;(L/B/S)U template;Knaptandstraat;4;
SINT-NIKLAAS - FH02;3500234;3;BL0214;3500234;BL0214;BUILDING template;Knaptandstraat;6;
SINT-NIKLAAS - FH02;2120048;3;BL0214;3500234;BL0214;(L/B/S)U template;Knaptandstraat;6;
SINT-NIKLAAS - FH02;11094617;3;BL0214;3500234;BL0214;(L/B/S)U template;Knaptandstraat;6;
SINT-NIKLAAS - FH02;91075;3;BL0214;91075;BL0214;BUILDING template;Knaptandstraat;8;
SINT-NIKLAAS - FH02;2124713;3;BL0214;91075;BL0214;(L/B/S)U template;Knaptandstraat;8;
SINT-NIKLAAS - FH02;3500240;3;BL0214;3500240;BL0214;BUILDING template;Knaptandstraat;10;
SINT-NIKLAAS - FH02;2094956;3;BL0214;3500240;BL0214;(L/B/S)U template;Knaptandstraat;10;
