Projectnummer;Blok;Straat;Huisnummer;Huisnummer Toevoeging;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Opdrachttemplate
ANTWERPEN-WEST - FH07;BL0708;Korte Riddersstraat;8;;152038,045;211976,5374;SDU;;1;0;0;1;Y;NA;3;BUILDING template
ANTWERPEN-WEST - FH07;BL0719;Kloosterstraat;81;;151812;211678;SDU;D;0;1;0;1;Y;NA;1;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Korte Riddersstraat;20;;152004,4893;211921,7488;MDU;XA;26;0;1;27;N;GLASS;7;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Korte Riddersstraat;24;;151989,3229;211912,5225;SDU;;0;1;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Prekersstraat;53;;151974,6868;211580,759;SDU;;1;0;0;1;Y;NA;2;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Korte Riddersstraat;26;;151991,2187;211907,4039;SDU;;1;0;0;1;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0704;Kammenstraat;11;;152209,0823;212043,4066;MDU;D;4;0;0;4;N;ORN;5;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Korte Riddersstraat;28;;151989,1334;211901,5269;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Prekersstraat;61;;151988,7304;211577,4858;MDU;D;3;0;0;3;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0704;Nationalestraat;2;;152217,137;212050,8888;SDU;;0;1;0;1;N;ORN;6;BUILDING template
ANTWERPEN-WEST - FH07;BL0708;Muntstraat;1;;151936,6197;211933,2499;SDU;;1;0;0;1;N;ORN;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0726;Prekersstraat;63;;151992,9751;211575,9025;MDU;D;3;1;0;4;Y;NA;4;BUILDING template
ANTWERPEN-WEST - FH07;BL0704;Nationalestraat;4;;152220,8167;212056,2858;MDU;A;28;0;1;29;N;ORN;6;BUILDING template
